-19,-82,-1
83,15,1
-25,0,-1
10,97,1
-19,22,-1
47,-66,1
-42,-94,-1
40,-50,1
-51,93,-1
54,-18,1
-8,-6,-1
46,-82,1
-66,-73,-1
21,-31,1
-33,-73,-1
24,-38,1
-48,83,-1
44,92,1
-81,-74,-1
89,70,1
-60,-67,-1
68,55,1
-85,91,-1
47,9,1
-19,-52,-1
26,97,1
-66,-59,-1
99,50,1
-32,33,-1
20,-25,1
-14,58,-1
12,-79,1
-98,4,-1
27,-93,1
-31,-39,-1
84,-6,1
-13,-6,-1
41,86,1
-64,-32,-1
92,74,1
-56,47,-1
79,-55,1
-58,27,-1
55,-82,1
-48,-70,-1
63,-83,1
-90,45,-1
84,-41,1
-48,-77,-1
51,-72,1
-62,84,-1
19,-38,1
-23,-72,-1
97,-68,1
-56,-11,-1
30,10,1
-58,24,-1
79,-70,1
-31,72,-1
79,-82,1
-44,70,-1
93,41,1
-12,7,-1
70,74,1
-86,-83,-1
62,97,1
-74,67,-1
10,3,1
-67,-83,-1
66,-29,1
-30,88,-1
73,46,1
-8,-60,-1
30,-12,1
-40,17,-1
38,83,1
-48,-91,-1
84,-80,1
-28,66,-1
92,-67,1
-81,-95,-1
8,-27,1
-32,-96,-1
47,-12,1
-16,43,-1
5,-10,1
-95,-51,-1
51,-1,1
-11,33,-1
69,0,1
-14,3,-1
49,22,1
-56,-9,-1
46,62,1
-55,-18,-1
50,-63,1
-75,-44,-1
14,50,1
-70,-44,-1
31,34,1
-38,74,-1
23,-79,1
-84,18,-1
24,19,1
-77,15,-1
6,59,1
-45,15,-1
73,16,1
-71,33,-1
8,6,1
-9,-33,-1
5,75,1
-63,-4,-1
10,-18,1
-74,-86,-1
32,-82,1
-50,50,-1
10,87,1
-18,-32,-1
36,-40,1
-45,17,-1
73,43,1
-5,-19,-1
31,-48,1
-76,73,-1
34,-53,1
-81,5,-1
18,34,1
-39,21,-1
34,-44,1
-55,71,-1
38,-44,1
-77,20,-1
92,53,1
-77,78,-1
88,57,1
-5,87,-1
64,46,1
-64,41,-1
16,1,1
-75,-8,-1
29,31,1
-87,-54,-1
41,77,1
-84,-96,-1
94,-19,1
-23,11,-1
22,-93,1
-40,-16,-1
37,-13,1
-37,73,-1
97,39,1
-15,-63,-1
73,-74,1
-63,78,-1
73,-49,1
-69,-84,-1
44,10,1
-97,89,-1
98,0,1
-64,-93,-1
14,-68,1
-53,0,-1
65,-51,1
-69,-24,-1
48,19,1
-21,87,-1
87,-52,1
-28,41,-1
94,83,1
-72,12,-1
73,67,1
-8,-3,-1
96,-56,1
-29,-33,-1
59,46,1
-28,-7,-1
5,92,1
-62,9,-1
45,64,1
-61,-35,-1
41,-71,1
-37,70,-1
73,-20,1
-65,-8,-1
78,-11,1
-83,-45,-1
21,15,1
-54,63,-1
7,65,1
-62,-3,-1
86,-90,1
-29,39,-1
69,75,1
-61,33,-1
42,-88,1
-41,81,-1
19,9,1
-89,-62,-1
81,55,1
-23,-8,-1
93,-82,1
-44,-71,-1
62,-89,1
-59,51,-1
85,-94,1
-6,-56,-1
89,81,1
-76,50,-1
24,15,1
-7,31,-1
21,92,1
-58,76,-1
69,69,1
-13,-53,-1
55,-1,1
-21,10,-1
78,38,1
-61,56,-1
78,30,1
-27,-96,-1
29,-33,1
-66,52,-1
53,89,1
-73,72,-1
94,-36,1
-60,-15,-1
51,-83,1
-25,94,-1
36,16,1
-73,24,-1
88,38,1
-92,84,-1
87,-80,1
-92,-97,-1
26,53,1
-71,57,-1
90,62,1
-82,-20,-1
39,93,1
